2020-04-21 15:04:956 INFO  BrowserSelector :24 - Launching chrome browser
2020-04-21 15:04:805 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (b4689621fc087d7f858ec877d7ec5b95)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-21 15:04:628 INFO  RegisterPage :37 - Getting computer text message Proxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'
2020-04-21 15:04:852 INFO  BrowserSelector :24 - Launching chrome browser
2020-04-21 15:04:221 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (5fd890bed2d212bc50d533a29a146ef7)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-21 15:04:131 INFO  RegisterPage :37 - Getting computer text message Proxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'
2020-04-21 15:04:914 INFO  BrowserSelector :24 - Launching chrome browser
2020-04-21 15:04:293 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (304705cfef99b40b295ffeb66fb7f373)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-21 15:04:54 INFO  BrowserSelector :24 - Launching chrome browser
2020-04-21 15:04:565 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (318017d4f910ba79821b7eda32092db7)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-21 15:04:500 INFO  RegisterPage :37 - Getting computer text message Proxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'
2020-04-21 15:04:622 INFO  BrowserSelector :24 - Launching chrome browser
2020-04-21 15:04:271 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (34f9d1a97c8f340cea93c6c3089ed91a)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-21 15:04:178 INFO  BrowserSelector :24 - Launching chrome browser
2020-04-21 15:04:176 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (d3af063b5f8e322cc488f40c2cf0aaa9)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-21 16:04:468 INFO  BrowserSelector :24 - Launching chrome browser
2020-04-21 16:04:647 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (33e1648f154118945c64489655b063b4)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-21 16:04:673 INFO  RegisterPage :37 - Getting computer text message [[ChromeDriver: chrome on WINDOWS (33e1648f154118945c64489655b063b4)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-21 16:04:421 INFO  BrowserSelector :24 - Launching chrome browser
2020-04-21 16:04:274 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (7a94db6de2d99cb6ba283f148f87ee3f)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
